id,id_imdb,titulo,estado,tipo,mi_valoracion,fecha_vista
490132,tt6966692,Green Book,3,película,9,2023-09-09
968438,tt15521050,Amor y helado,3,película,5,2022-07-22
745376,tt4181158,"Hola, adiós y todo lo que pasó",3,película,6.5,2022-07-22
613504,tt10362466,After: En mil pedazos,3,película,5,2022-07-29
102382,tt1872181,The Amazing Spider-Man 2: El poder de Electro,3,película,6.5,2022-07-29
72105,tt1637725,Ted,3,película,7,2022-07-29
352492,tt4855748,XOXO,3,película,5,2022-07-26
244786,tt2582802,Whiplash,3,película,9.5,2025-06-13
580175,tt10288566,Otra ronda,4,película,4.5,2022-07-29
400106,tt5519340,Bright,3,película,6.5,2022-07-29
520765,tt8116640,Go Karts,3,película,6,2022-07-29
295151,tt1950235,Noches blancas: Tres historias de amor inolvidables,3,película,6,2022-07-29
472838,tt7296862,SPF-18,3,película,5,2022-07-29
499726,tt7205316,MILF,3,película,6.5,2022-07-29
582186,tt7200946,"Oh, Ramona!",3,película,4,2022-07-29
636565,tt10287954,La increíble historia de la Isla de las Rosas,3,película,5.5,2022-07-29
933547,tt17044594,Al viento,3,película,6.5,2022-07-29
669671,tt10763820,Fauces de la noche,3,película,5.5,2022-07-29
640,tt0264464,Atrápame si puedes,3,película,6.5,2022-07-29
475303,tt7139936,Día de lluvia en Nueva York,3,película,6.5,2022-07-29
726916,tt12299824,Bahía de invierno,3,película,7,2022-07-29
463053,tt3685236,Ibiza,3,película,5.5,2022-07-29
598133,tt8145202,La lista de a la mierda,3,película,6.5,2022-07-29
137113,tt1631867,Al filo del mañana,3,película,5.5,2022-07-29
57212,tt1568911,War Horse (Caballo de batalla),3,película,6,2022-07-29
163,tt0349903,Ocean's Twelve,3,película,7.5,2022-07-29
298,tt0496806,Ocean's Thirteen,3,película,7.5,2022-07-29
161,tt0240772,Ocean's Eleven. Hagan juego,3,película,7.5,2022-07-29
51828,tt1563738,Siempre el mismo día,3,película,7,2022-08-08
544401,tt9130508,Cherry,0,película,,
672647,tt11080108,El mapa de las pequeñas cosas perfectas,3,película,7,2022-09-22
49530,tt1637688,In Time,3,película,6.5,2023-10-08
762975,tt4614584,Corazones malheridos,3,película,8,2022-08-21
508965,tt4729430,Klaus,3,película,7.5,2023-12-31
207,tt0097165,El club de los poetas muertos,3,película,6,2023-03-24
807,tt0114369,Seven,3,película,6,2022-08-15
725201,tt1649418,El agente invisible,3,película,5.5,2022-08-15
616037,tt10648342,Thor: Love and Thunder,3,película,5.5,2023-02-15
569094,tt9362722,Spider-Man: Cruzando el Multiverso,3,película,6.5,2023-08-22
539681,tt8912936,DC Liga de supermascotas,2,película,,
438148,tt5113044,Minions: El origen de Gru,1,película,,
718789,tt10298810,Lightyear,3,película,5,2023-02-07
585511,tt7214954,Luck,0,película,,
615469,tt9783600,Spiderhead,3,película,6,2022-08-19
311324,tt2034800,La Gran Muralla,3,película,6.5,2022-08-21
996518,tt15022184,Royalteen: El heredero,4,película,,
157336,tt0816692,Interstellar,4,película,,
38,tt0338013,¡Olvídate de mí!,3,película,6.5,2024-08-08
8247,tt0489099,Jumper,3,película,6,2022-08-29
19995,tt0499549,Avatar,3,película,8,2022-10-10
437557,tt2531344,#SexPact,3,película,5.5,2022-09-05
540901,tt5503686,Estafadoras de Wall Street,3,película,6.5,2022-09-05
590223,tt2222042,De amor y monstruos,3,película,5.5,2022-09-05
492188,tt7653254,Historia de un matrimonio,4,película,5.5,2022-09-05
173185,tt2186812,20 años no importan,3,película,7,2024-07-05
8065,tt0478087,21 Blackjack,3,película,6.5,2022-09-09
72570,tt1606389,Todos los días de mi vida,3,película,6.5,2022-11-02
19173,tt1111890,Diario de una ninfómana,3,película,6,2022-09-15
9870,tt0800039,Paso de ti,3,película,6,2022-09-16
272693,tt1666801,El último baile,3,película,6.5,2022-09-16
920,tt0317219,Cars,3,película,7,2022-09-18
49013,tt1216475,Cars 2,3,película,6,2022-09-19
351809,tt3655414,Cien años de perdón,3,película,6.5,2022-09-19
530915,tt8579674,1917,3,película,7,2022-09-22
613096,tt9359344,"Te quiero, imbécil",3,película,6,2022-09-20
152601,tt1798709,Her,3,película,6.5,2023-11-01
11036,tt0332280,El diario de Noa,3,película,7,2022-09-20
115290,tt2287663,El lago azul: El despertar,3,película,5.5,2022-09-20
370663,tt5073620,Below Her Mouth,2,película,,
260514,tt3606752,Cars 3,3,película,7,2022-09-23
458723,tt6857112,Nosotros,3,película,3,2022-09-23
651589,tt10978398,Hasta el cielo,3,película,6,2022-09-23
533444,tt8652728,Un momento en el tiempo (Waves),4,película,,
324786,tt2119532,Hasta el último hombre,0,película,,
762968,tt13327038,Revancha ya,3,película,6.5,2022-10-01
1954,tt0289879,El efecto mariposa,1,película,,
779782,tt2935622,La escuela del bien y del mal,3,película,5.5,2022-10-25
156700,tt2179116,Los reyes del verano,3,película,6,2025-07-16
962232,tt16027944,Mas allá del universo,3,película,6.5,2022-11-04
1022206,tt22091698,Esposa De Alquiler,3,película,6.5,2022-11-11
114150,tt1981677,Dando la nota,3,película,6,2022-11-13
313369,tt3783958,La ciudad de las estrellas (La La Land),3,película,7.5,2023-07-31
852046,tt15445056,Atenea,1,película,,
829280,tt14641788,Enola Holmes 2,0,película,,
20943,tt1142988,La cruda realidad,3,película,6.5,2023-01-21
1949,tt0443706,Zodiac,3,película,6.5,2023-02-07
37799,tt1285016,La red social,3,película,7.5,2023-01-24
630566,tt6473066,Clouds,3,película,7,2023-02-04
150540,tt2096673,Del revés (Inside Out),3,película,6.5,2023-02-07
352498,tt4262174,La primera chica que amé,2,película,,
522212,tt4916630,Cuestión de justicia,1,película,,
788752,tt13051810,Lobo vikingo,3,película,5.5,2023-02-15
382748,tt4858674,Stargirl,3,película,6,2023-02-13
337170,tt3532216,Barry Seal: el traficante,3,película,6.5,2025-06-01
64678,tt1645080,El arte de pasar de todo,3,película,6.5,2023-03-05
664469,tt10304142,Ámsterdam,1,película,,
505642,tt9114286,Black Panther: Wakanda Forever,3,película,6,2023-02-19
1359,tt0144084,American Psycho,3,película,6,2023-02-28
799375,tt21819228,Stutz,3,película,7.5,2023-03-01
76600,tt1630029,Avatar: El sentido del agua,3,película,6,2023-09-23
315162,tt3915174,El Gato con Botas: El último deseo,3,película,7,2023-05-21
98,tt0172495,Gladiator,3,película,6,2023-04-02
109418,tt2191701,Niños grandes 2,3,película,5,2023-04-04
1094266,tt27441525,Amén: Francisco responde,3,película,6.5,2023-05-28
567748,tt9421570,Culpable,3,película,7,2023-04-29
9475,tt0105323,Esencia de mujer,3,película,6,2023-05-02
361743,tt1745960,Top Gun: Maverick,3,película,6.5,2025-05-26
8271,tt0486822,Disturbia,3,película,6,2023-05-22
868759,tt15326988,Ghosting,3,película,7,2023-05-23
254320,tt3464902,Langosta,1,película,,
1120628,tt20256412,Muchas mas hormigas entre las piernas,3,película,7,2025-01-13
38050,tt1385826,Destino oculto,3,película,7,2023-06-01
10591,tt0265208,La vecina de al lado,3,película,6,2023-06-14
988078,tt21245882,A través de mi ventana 2: A través del mar,3,película,6,2023-06-30
1817,tt0183649,Última llamada,3,película,6.5,2023-06-15
297761,tt1386697,Escuadrón suicida,3,película,6.5,2023-06-15
1126852,tt23144234,Ricos de Amor 2,3,película,5.5,2023-07-26
369972,tt1213641,First Man (El primer hombre),2,película,,
68718,tt1853728,Django desencadenado,3,película,6,2023-08-08
872585,tt15398776,Oppenheimer,2,película,,
152584,tt2278871,La vida de Adèle,0,película,,
785084,tt13833688,La ballena (The Whale),0,película,,
324857,tt4633694,Spider-Man: un nuevo universo,3,película,7,2023-08-22
111969,tt2205697,Un invierno en la playa,3,película,7,2023-09-13
637649,tt11083552,Despierta la furia,3,película,6,2023-09-23
11324,tt1130884,Shutter Island,3,película,7.5,2023-09-26
205596,tt2084970,The Imitation Game (Descifrando Enigma),3,película,6.5,2023-10-08
398978,tt1302006,El irlandés,3,película,6,2023-10-06
8488,tt0386588,Hitch: Especialista en ligues,3,película,7,2023-10-07
299536,tt4154756,Vengadores: Infinity War,3,película,6.5,2023-10-13
585244,tt9779516,Mientras estés conmigo,3,película,6,2024-03-22
44214,tt0947798,Cisne negro,3,película,7.5,2023-11-23
550,tt0137523,El Club de la Lucha,3,película,7.5,2023-11-24
64690,tt0780504,Drive,3,película,6,2023-11-27
1072790,tt26047818,Cualquiera menos tú,3,película,6,2024-03-19
537739,tt8707922,No te lo vas a creer,3,película,6,2023-12-10
257211,tt2361509,El becario,3,película,6.5,2023-12-14
457232,tt5533370,Lamborghini: El hombre detrás de la leyenda,3,película,7,2023-12-15
353577,tt2183014,La probabilidad estadística del amor a primera vista,3,película,7,2023-12-17
129139,tt1758795,Cosas que hacer antes de los 18,3,película,6,2023-12-21
710356,tt5616176,2 corazones,1,película,,
542417,tt6043142,Skin,3,película,6,2023-12-27
76,tt0112471,Antes de amanecer,3,película,7.5,2024-06-13
80,tt0381681,Antes del atardecer,3,película,7,2024-01-08
132344,tt2209418,Antes del anochecer,3,película,6,2025-05-17
447365,tt6791350,Guardianes de la Galaxia: Volumen 3,3,película,6,2024-01-05
286217,tt3659388,Marte (The Martian),3,película,7,2024-01-15
77338,tt1675434,Intocable,3,película,8,2024-01-10
347866,tt3416536,Noches de verano,3,película,6,2024-03-29
404733,tt1935194,La gran fuga,3,película,6,2024-01-12
365620,tt3758542,Ferrari,1,película,,
615777,tt10640346,Babylon,3,película,6.5,2025-08-22
49046,tt1016150,Sin novedad en el frente,1,película,,
293863,tt1655441,El secreto de Adaline,3,película,6.5,2024-01-24
27205,tt1375666,Origen,3,película,7.5,2024-02-25
2330,tt0152930,Taxi Express,3,película,6.5,2024-02-11
155,tt0468569,El caballero oscuro,3,película,6.5,2025-08-26
16869,tt0361748,Malditos bastardos,3,película,6,2024-03-19
13363,tt0756683,El hombre de la Tierra,3,película,6.5,2024-02-19
396461,tt5691670,Lo que esconde Silver Lake,1,película,,
517839,tt5501104,Border,1,película,,
278,tt0111161,Cadena perpetua,1,película,,
318846,tt1596363,La gran apuesta,3,película,6.5,2024-02-27
559907,tt9243804,El caballero verde,1,película,,
64688,tt1232829,Infiltrados en clase,3,película,6,2024-04-05
290250,tt3799694,Dos buenos tipos,1,película,,
934222,tt17660740,El forajido de PEZ,1,película,,
682587,tt11790780,El alpinista,3,película,6,2025-04-04
614917,tt9620288,El método Williams,1,película,,
389015,tt5580036,"Yo, Tonya",1,película,,
473408,tt7253506,Joan Didion: The Center Will Not Hold,1,película,,
628534,tt6571548,Tigre Blanco,1,película,,
375262,tt5083738,La favorita,1,película,,
350,tt0458352,El diablo viste de Prada,0,película,,
773,tt0449059,Pequeña Miss Sunshine,3,película,6,2024-05-20
9655,tt0454945,Ella es el chico,2,película,,
1109715,tt27447330,The Jewel Thief,1,película,,
428967,tt6268876,Mo Farah: No Easy Mile,1,película,,
600583,tt10293406,El poder del perro,3,película,6.5,2025-08-24
1124,tt0482571,El truco final (El prestigio),1,película,,
705996,tt12477480,Decision to Leave,1,película,,
508883,tt6587046,El chico y la garza,0,película,,
419430,tt5052448,Déjame salir,1,película,,
1139566,tt28105944,A través de mi ventana 3: A través de tu mirada,3,película,6.5,2024-03-12
489,tt0119217,El indomable Will Hunting,3,película,7.5,2025-01-12
274,tt0102926,El silencio de los corderos,3,película,6.5,2024-05-26
